Founder,Company,Age,Went to elite university,Major in Business,Major in Engineering,Completed Doctor Degree,Completed Master Degree,Completed Bachelor Degree,Master in Engineering,Master in Business,Doctor in Engineering,Doctor in Business,Role in Product/Engineering,Role in Business/Marketing/Comm,Role in Finance,Work at MNC,Work at Entrepreneurial Company,Work at National Company,Work at a company,Work as High Level,Work as Manager,Work as Intern
dmitry_vedenyapin,peakflo,38,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0
dominic_sumarli,whiz,27,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
don_pansacola,nextpay,35,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
dorothea_koh,bot_md,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1
duc_pham,marathon_education,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
dzung_dang,nano_technologies,38,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0
ed_chin,octifi,49,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0
edo_windratno,transfez,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0
edria_albert,pahamify,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
edrick_guan,meson,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
emmanuel_rex_rodriguez,uwi,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
ernest_sim,atlas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
ethan_le,saleswhale,40,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0
eugene_huang,traverse_technologies,33,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1
eunice_wong,milky_way_ai,34,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
fajar_kuntoro,pina,35,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
faza_fahleraz,payable,32,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
febrianto_gamal,eden_farm,34,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0
fransisca_susan,sribuu,28,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1
fransiskus_raymond,stafbook,38,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1
frederick_widjaja,whiz,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
gabriel_frans,credibook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
gangeshwar_krishnamurthy,mindfi,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
geoffrey_see,poko,31,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
george_oliver,circular,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
ghuniyu_fattah_rozaq,stafbook,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0
giovanni_casinelli,aspire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
grace_sai,unravel_carbon,33,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0
guido_caldara,tablevibe,35,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
